amount,hour,device_trust,fraud
17142,23,1,0
9087,1,1,0
14151,17,1,0
3677,3,1,0
634,22,1,0
10180,18,0,0
8631,7,1,0
3943,22,1,0
4765,3,0,0
18201,14,1,0
12341,6,0,0
10991,10,0,0
19382,17,1,0
4383,21,0,0
2006,20,0,0
12107,0,1,0
2637,17,1,0
9708,5,1,0
12752,16,0,0
13923,7,1,0
9035,11,1,0
18284,5,1,0
4461,1,1,0
17744,10,1,0
18620,17,1,0
4434,5,1,0
3608,21,1,0
518,9,1,0
5563,23,1,0
6108,11,0,0
4092,10,1,0
800,0,0,0
10497,19,1,0
8787,17,0,0
14067,2,0,0
4317,16,0,0
1406,12,0,0
5569,20,0,0
17568,2,1,0
19000,11,1,0
15596,8,1,0
7077,4,1,0
9562,16,1,0
15137,6,0,0
17717,23,1,0
12912,21,0,0
8088,0,1,0
3327,0,1,0
11420,18,1,0
1274,12,1,0
4325,14,1,0
12613,4,1,0
10887,10,0,0
5853,1,0,0
2968,14,1,0
10929,13,1,0
5267,15,1,0
14470,10,1,0
7144,9,1,0
11124,2,0,0
1753,10,0,0
14918,22,1,0
12000,18,0,0
9452,12,0,0
5462,14,0,0
8742,18,1,0
4285,18,1,0
12693,22,1,0
13496,11,1,0
3274,6,0,0
2745,5,1,0
15727,8,0,0
2930,17,0,0
6399,10,1,0
7959,20,1,0
15646,23,1,0
15308,15,1,0
5485,7,0,0
8218,23,0,0
3616,15,1,0
6957,2,1,0
19444,10,1,0
4781,5,0,0
11265,6,1,0
8678,2,1,0
4022,7,1,0
14585,13,1,0
19930,17,1,0
19843,7,0,0
18226,10,1,0
16784,4,1,0
10211,20,1,0
18505,23,1,0
10636,12,1,0
10315,6,1,0
7213,18,1,0
8149,3,1,0
10029,22,0,0
10074,17,1,0
11151,5,0,0
14761,5,1,0
13948,0,0,0
4928,19,1,0
3386,14,1,0
6960,8,0,0
13700,11,1,0
8626,16,0,0
14984,7,1,0
8281,5,0,0
12788,17,1,0
340,14,1,0
18843,20,1,0
10202,19,1,0
18212,21,0,0
3031,22,0,0
17618,16,1,0
14602,16,1,0
11821,16,1,0
15484,22,0,0
18074,11,1,0
13156,15,0,0
18214,14,1,0
19973,0,1,0
11052,0,1,0
2419,12,0,0
9763,11,0,0
18239,7,1,0
1766,12,1,0
2467,10,0,0
11387,17,1,0
12598,16,0,0
12288,19,1,0
2421,9,1,0
19061,6,1,0
2015,3,0,0
3684,8,0,0
12361,1,1,0
2202,17,1,0
6876,2,0,0
10229,15,0,0
17797,3,1,0
8584,15,1,0
4344,18,1,0
12101,20,1,0
4168,22,1,0
10752,15,1,0
10429,15,0,0
1525,12,1,0
19561,7,1,0
1624,11,0,0
17733,16,1,0
3973,2,1,0
15510,18,1,0
6199,21,1,0
16544,6,1,0
7052,0,1,0
10950,11,1,0
13145,4,1,0
358,3,0,0
18374,15,1,0
11050,18,1,0
13814,17,1,0
18755,5,1,0
6766,9,1,0
14485,0,1,0
16703,9,1,0
2063,3,1,0
8424,17,0,0
13704,22,0,0
15742,0,1,0
11076,22,1,0
18605,2,1,0
7545,13,1,0
14231,1,0,0
2378,22,0,0
12117,12,1,0
14718,9,1,0
278,6,1,0
723,9,1,0
9058,6,1,0
16719,6,1,0
16775,1,1,0
12046,21,1,0
3302,10,1,0
5624,15,1,0
17819,22,0,0
15822,15,1,0
912,11,1,0
4531,16,1,0
15085,11,0,0
3980,5,0,0
9496,6,1,0
11419,21,1,0
3392,11,1,0
3217,4,1,0
17585,17,1,0
10074,20,0,0
2926,22,1,0
13899,11,1,0
19991,13,1,0
15533,13,1,0
5900,7,1,0
5307,23,1,0
6258,13,1,0
7923,22,0,0
15014,4,1,0
7096,10,1,0
17452,22,1,0
8809,22,1,0
19418,11,1,0
13063,22,1,0
1519,19,1,0
14927,16,1,0
19398,13,0,0
13053,20,0,0
15570,13,0,0
13098,0,0,0
10877,13,0,0
15592,15,1,0
5701,13,0,0
7997,7,1,0
1961,19,1,0
5983,22,1,0
11105,23,1,0
6372,4,1,0
18238,5,1,0
19031,16,1,0
6672,16,0,0
14612,0,1,0
14341,7,0,0
946,6,0,0
19202,7,1,0
3908,7,1,0
16857,11,1,0
15252,11,1,0
6362,4,0,0
15556,23,1,0
18037,9,0,0
15929,3,1,0
13228,21,1,0
9525,23,1,0
5936,0,0,0
16290,18,1,0
2146,11,1,0
